Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   5/1/2026 - 7/31/2026,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Units   5/1/2026 - 7/31/2026,Units   8/1/2026 - 8/31/2026
Allison Scott,22016,Johnny A's (P) Hitchn Pos,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/31/2026,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,24026,Rock Bar,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/31/2026,1.00,,1.00,,1.00,
Allison Scott,7003,Blu Ale House,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/16/2026,1.00,,1.00,,1.00,
Allison Scott,8014,Macks American Bar/Grill,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,12065,"Buffalo Wild Wings - Wayne, NJ",8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/1/2026,1.00,,1.00,,0.00,
Allison Scott,12065,"Buffalo Wild Wings - Wayne, NJ",8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/28/2026,1.00,,1.00,,1.00,
Allison Scott,24019,Sharky's Wings(P),12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/8/2026,1.00,,1.00,,1.00,
Allison Scott,25078,The Shannon Rose (A),12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/18/2026,1.00,,1.00,,1.00,
Allison Scott,24029,Dingo's Den (P),12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/4/2026,,1.00,,1.00,,1.00
Allison Scott,24029,Dingo's Den (P),12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/1/2026,1.00,,1.00,,0.00,
Allison Scott,15074,Bask 46,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,15074,Bask 46,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,12057,YARD HOUSE 8384,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/14/2026,1.00,,1.00,,1.00,
Allison Scott,24026,Rock Bar,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/15/2026,1.00,,1.00,,1.00,
Allison Scott,8014,Macks American Bar/Grill,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/6/2026,1.00,,1.00,,1.00,
Allison Scott,3002,The Celtic Knot,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/24/2026,1.00,,1.00,,1.00,
Allison Scott,24019,Sharky's Wings(P),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,24029,Dingo's Den (P),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,12057,YARD HOUSE 8384,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/1/2026,1.00,,1.00,,0.00,
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/8/2026,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/14/2026,1.00,,1.00,,1.00,
Allison Scott,24029,Dingo's Den (P),12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,24026,Rock Bar,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/10/2026,1.00,,1.00,,1.00,
Allison Scott,3002,The Celtic Knot,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/28/2026,1.00,,1.00,,1.00,
Allison Scott,12036,Brokedown Palace,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/9/2026,1.00,,1.00,,1.00,
Allison Scott,24029,Dingo's Den (P),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,8014,Macks American Bar/Grill,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/25/2026,1.00,,1.00,,1.00,
Allison Scott,3002,The Celtic Knot,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/5/2026,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,12057,YARD HOUSE 8384,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/19/2026,1.00,,1.00,,1.00,
Allison Scott,22016,Johnny A's (P) Hitchn Pos,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/28/2026,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/9/2026,1.00,,1.00,,1.00,
Allison Scott,12065,"Buffalo Wild Wings - Wayne, NJ",12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/1/2026,1.00,,1.00,,0.00,
Allison Scott,13002,The Little Falls Tavern,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/21/2026,1.00,,1.00,,1.00,
Allison Scott,12041,Cheesecake Fact (A)Wayne,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/6/2026,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/2/2026,1.00,,1.00,,1.00,
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/17/2026,1.00,,1.00,,1.00,
Allison Scott,13016,THE TIES,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/10/2026,1.00,,1.00,,1.00,
Allison Scott,12036,Brokedown Palace,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,13015,Rare The Steakhouse (Z),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/7/2026,1.00,,1.00,,-1.00,
Allison Scott,24029,Dingo's Den (P),12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/5/2026,1.00,,1.00,,1.00,
Allison Scott,24026,Rock Bar,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/21/2026,1.00,,1.00,,1.00,
Allison Scott,3002,The Celtic Knot,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/17/2026,1.00,,1.00,,1.00,
Allison Scott,22016,Johnny A's (P) Hitchn Pos,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,24026,Rock Bar,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/1/2026,1.00,,1.00,,1.00,
Allison Scott,24019,Sharky's Wings(P),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,8014,Macks American Bar/Grill,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/25/2026,1.00,,1.00,,1.00,
Allison Scott,24029,Dingo's Den (P),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/1/2026,1.00,,1.00,,0.00,
Allison Scott,12036,Brokedown Palace,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,12057,YARD HOUSE 8384,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/19/2026,1.00,,1.00,,1.00,
Allison Scott,24019,Sharky's Wings(P),12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,3002,The Celtic Knot,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,7/9/2026,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/29/2026,1.00,,1.00,,1.00,
Allison Scott,12036,Brokedown Palace,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,7/16/2026,1.00,,1.00,,1.00,
Allison Scott,24026,Rock Bar,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/20/2026,1.00,,1.00,,1.00,
Allison Scott,12043,Outback Stkhse(P)Wayne,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/7/2026,,1.00,,1.00,,1.00
Allison Scott,12022,Grasshopper Too (A),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,6/19/2026,1.00,,1.00,,1.00,
Allison Scott,7003,Blu Ale House,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,12043,Outback Stkhse(P)Wayne,12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,15074,Bask 46,12150,Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,5/21/2026,1.00,,1.00,,1.00,
Allison Scott,24029,Dingo's Den (P),8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/5/2026,1.00,,1.00,,1.00,
Allison Scott,13016,THE TIES,8101,Angry Orchard Crisp Apple 15.5 Gal Keg,Keg Cider,15.5 Gal Keg,Angry Orchard,5/4/2026,1.00,,1.00,,0.00,
Allison Scott,12065,"Buffalo Wild Wings - Wayne, NJ",12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,6/1/2026,1.00,,1.00,,0.00,
Allison Scott,24019,Sharky's Wings(P),12013,Dogfish 60 Minute IPA 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Dogfish Head Beer,8/3/2026,,1.00,,1.00,,0.00
